,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_rate,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,52.177388985951744,0.14409867922465006,0.5295771479982007,0.6020300288375107,0.05,50,"{'n_estimators': 50, 'learning_rate': 0.05}",19,0.5267330072524877,0.6034584563475327,0.5340755735492577,0.6032388663967612,0.52792306394466,0.5993927637682381,0.13231653590175346,0.03107144637587559,0.003217756262923316,0.0018669815604916492
1,104.08515357971191,0.2298278013865153,0.5349752586594692,0.656461016201508,0.05,100,"{'n_estimators': 100, 'learning_rate': 0.05}",7,0.5328048574801821,0.6576971741881062,0.5377867746288799,0.6594129554655871,0.5343344018896575,0.6522729189508307,0.43206101161321825,0.00325209491541969,0.002083801500972738,0.0030431447861147946
2,155.49125472704569,0.32400234540303546,0.5352564102564102,0.7060280666905036,0.05,150,"{'n_estimators': 150, 'learning_rate': 0.05}",6,0.5358407825940293,0.7075495571488823,0.5386302294197031,0.7092611336032388,0.531297452336764,0.7012735093193894,1.2840404662088756,0.0009105112896852221,0.003021859705517758,0.003433825401908568
3,206.61761395136514,0.4446226755777995,0.5365497076023392,0.7517714080173666,0.05,200,"{'n_estimators': 200, 'learning_rate': 0.05}",2,0.5373587451509529,0.7531843104175453,0.5393049932523617,0.7543859649122807,0.532984646532816,0.7477439487222738,0.17308438340264606,0.01719859864607131,0.002642837339438873,0.002889788303826837
4,258.80323163668317,0.5210820833841959,0.5374493927125507,0.7940004278756502,0.05,250,"{'n_estimators': 250, 'learning_rate': 0.05}",1,0.5380333951762524,0.7959510754955715,0.5406545209176788,0.7973178137651822,0.5336595242112367,0.7887323943661971,0.9473251271841375,0.005385295368659078,0.0028852870194642946,0.0037666188345292333
5,52.22228503227234,0.12111790974934895,0.5348065677013045,0.6552521117583937,0.1,50,"{'n_estimators': 50, 'learning_rate': 0.1}",8,0.5317928824422331,0.6576971741881062,0.5435222672064778,0.6574730094466936,0.5291040998818964,0.6505861516403812,0.2349717066375664,0.0010154728668938574,0.006259922856879193,0.0033006009882025292
6,104.54880197842915,0.2288990020751953,0.5354251012145749,0.7483976860575238,0.1,100,"{'n_estimators': 100, 'learning_rate': 0.1}",5,0.533985495024456,0.7499789118515394,0.5404858299595142,0.7541329284750338,0.5318036105955796,0.7410812178459981,0.36491523797396996,0.0019574632399016996,0.003687671935315183,0.005444385110353961
7,156.49244825045267,0.325153112411499,0.5362123256860098,0.8265857439756016,0.1,150,"{'n_estimators': 150, 'learning_rate': 0.1}",3,0.5314555574295834,0.8258118937157317,0.543859649122807,0.8298751686909581,0.5333220853720263,0.8240701695201147,0.6048324813672044,0.003971620033631605,0.005460900318044943,0.002432233131904181
8,208.92210253079733,0.4442254702250163,0.535987404408457,0.8871740414577028,0.1,200,"{'n_estimators': 200, 'learning_rate': 0.1}",4,0.5312868949232585,0.8884858709405314,0.5441970310391363,0.8908569500674763,0.5324784882740003,0.8821793033651008,0.7196705782549296,0.02622327018025691,0.005825429925745128,0.0036620632178073448
9,263.08735330899555,0.5291733741760254,0.5346378767431399,0.9297965810754261,0.1,250,"{'n_estimators': 250, 'learning_rate': 0.1}",9,0.5316242199359082,0.9312526360185576,0.5409919028340081,0.9316801619433198,0.531297452336764,0.9264569452644008,2.1575938569769235,0.003190752456289077,0.00449495494510445,0.0023679203416778595
10,52.762667973836265,0.12094362576802571,0.5342442645074224,0.7037506320338817,0.15,50,"{'n_estimators': 50, 'learning_rate': 0.15}",10,0.5336481700118064,0.7037536904259806,0.5364372469635628,0.7062246963562753,0.5326472076936055,0.7012735093193894,0.6037737734512755,0.0013053765405997373,0.0016036126762596983,0.0020213148004666723
11,104.21794406572978,0.22565770149230957,0.5338506522717049,0.8231559245060228,0.15,100,"{'n_estimators': 100, 'learning_rate': 0.15}",11,0.5324675324675324,0.827498945592577,0.5360998650472335,0.8243927125506073,0.532984646532816,0.8175761153748841,0.9741575839569905,0.001134298801367763,0.001604383644773887,0.004144303188933801
12,155.1171476840973,0.3332516352335612,0.5321637426900585,0.9077262398940094,0.15,150,"{'n_estimators': 150, 'learning_rate': 0.15}",13,0.531961544948558,0.9099114297764657,0.5334008097165992,0.9102564102564102,0.5311287329171588,0.9030108796491524,0.5100698429899534,0.0018829624211630467,0.0009384899523853147,0.003337236337846972
13,205.37198599179587,0.42761532465616864,0.5321637426900585,0.9577993229521269,0.15,200,"{'n_estimators': 200, 'learning_rate': 0.15}",13,0.5306122448979592,0.9607760438633488,0.5387989203778677,0.9581646423751687,0.5270794668466341,0.9544572826178629,0.9951779320219204,0.0014515013603276933,0.004908449674645656,0.0025925251049896568
14,256.04307834307355,0.5347882906595866,0.5307017543859649,0.9839463433360973,0.15,250,"{'n_estimators': 250, 'learning_rate': 0.15}",17,0.5309495699106088,0.9855757064529734,0.5360998650472335,0.984227395411606,0.5250548338113716,0.9820359281437125,0.9752986509756367,0.008276986827822587,0.004512329568799004,0.0014587095487768773
15,51.95818837483724,0.12169965108235677,0.5332883490778227,0.745361120754482,0.2,50,"{'n_estimators': 50, 'learning_rate': 0.2}",12,0.528588294822061,0.7474483340362716,0.5379554655870445,0.745529689608637,0.5333220853720263,0.7431053386185376,0.6402506677972427,0.000858168730684389,0.003824367090670336,0.0017770225835290036
16,102.8784380753835,0.2267576058705648,0.5314327485380117,0.880763922561069,0.2,100,"{'n_estimators': 100, 'learning_rate': 0.2}",15,0.5284196323157362,0.8852804723745256,0.5350877192982456,0.8829284750337382,0.5307912940779483,0.8740828202749431,0.38447336197152016,0.001912892572903689,0.0027598675429801587,0.004820844925323408
17,153.8568389415741,0.32916975021362305,0.5263720197930725,0.9555782063591988,0.2,150,"{'n_estimators': 150, 'learning_rate': 0.2}",21,0.5235284196323158,0.9591733445803459,0.5303643724696356,0.954031713900135,0.5252235532309769,0.9535295605971156,0.27692681374657935,0.0026199593065584603,0.0029066050505049132,0.002550399133050572
18,204.61083324750265,0.43140363693237305,0.5247413405308142,0.9861112153853177,0.2,200,"{'n_estimators': 200, 'learning_rate': 0.2}",24,0.5238657446449654,0.9877688738928722,0.5263157894736842,0.9865047233468286,0.5240425172937405,0.984060048916252,0.6978178868302675,0.0016207853648311015,0.0011156400994928885,0.001539476548187689
19,257.1895552476247,0.5327160358428955,0.5253036437246964,0.9968230201391776,0.2,250,"{'n_estimators': 250, 'learning_rate': 0.2}",22,0.5233597571259909,0.9974694221847322,0.5300269905533064,0.9967105263157895,0.5225240425172938,0.9962891119170111,0.8636506537379478,0.002134961799208195,0.003357291435004691,0.0004883811539138558
20,51.516496340433754,0.12190103530883789,0.5301394511920827,0.7823325772577253,0.25,50,"{'n_estimators': 50, 'learning_rate': 0.25}",18,0.5299375948726598,0.782201602699283,0.5313765182186235,0.7877024291497976,0.5291040998818964,0.7770936999240955,0.07083154039706847,0.0006978755763553021,0.0009385909975704179,0.004331985664587383
21,103.51712004343669,0.22727394104003906,0.5307579847053532,0.9229925511391585,0.25,100,"{'n_estimators': 100, 'learning_rate': 0.25}",16,0.5289256198347108,0.9207929143821173,0.5300269905533064,0.926450742240216,0.5333220853720263,0.9217339967951421,0.49416853115232423,0.0019164491745474487,0.0018677957606827679,0.0024753078321158484
22,155.30885903040567,0.3280336062113444,0.5291273054430949,0.9801225962325789,0.25,150,"{'n_estimators': 150, 'learning_rate': 0.25}",20,0.5247090571765897,0.9808519611978068,0.5312078272604588,0.9791666666666666,0.5314661717563691,0.9803491608332631,0.5685838562652776,0.0019956514696651056,0.0031263479557506954,0.0007064243544712399
23,163.39115659395853,0.3184858163197835,0.5250787224471435,0.9964012808854328,0.25,200,"{'n_estimators': 200, 'learning_rate': 0.25}",23,0.522179119581717,0.9969633066216786,0.5264844804318488,0.9960357624831309,0.5265733085878185,0.9962047735514886,17.572618113092652,0.0012440585251021863,0.002050908863835927,0.0004033574770671371
24,198.6159749031067,0.3785579999287923,0.5244601889338731,0.9996063830195091,0.25,250,"{'n_estimators': 250, 'learning_rate': 0.25}",25,0.5225164445943666,0.9994938844369464,0.5251349527665317,0.9996626180836707,0.5257297114897925,0.9996626465379101,14.557424128499454,0.0042553901293590326,0.0013958869663535818,7.954851145211218e-05
